央视频道,#genre#
CCTV1 综合,http://185.184.223.59:50001/6000000001000029752/wasusyt/index.m3u8$8M1080_华数
CCTV1 综合,http://185.184.223.59:50001/1000000001000018602/ystenlive/index.m3u8$8M1080_易视腾
CCTV1 综合,http://185.184.223.59:50001/5000000004000002226/bestzb/index.m3u8$7.5M1080_百视通
CCTV1 综合,http://185.184.223.59:50001/1000000005000265001/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV1 综合,http://185.184.223.59:50001/5000000010000030810/bestzb/index.m3u8$4M1080_百视通
CCTV1 综合,http://185.184.223.59:50001/1000000001000021973/ystenlive/index.m3u8$4M1080_易视腾
CCTV2 财经,http://185.184.223.59:50001/6000000001000014161/wasusyt/index.m3u8$8M1080_华数
CCTV2 财经,http://185.184.223.59:50001/1000000001000023315/ystenlive/index.m3u8$8M1080_易视腾
CCTV2 财经,http://185.184.223.59:50001/5000000011000031101/bestzb/index.m3u8$6.8M1080_百视通
CCTV2 财经,http://185.184.223.59:50001/1000000005000265002/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV2 财经,http://185.184.223.59:50001/1000000001000012442/ystenlive/index.m3u8$4M1080_易视腾
CCTV3 综艺,http://185.184.223.59:50001/6000000001000022313/wasusyt/index.m3u8$8M1080_华数
CCTV3 综艺,http://185.184.223.59:50001/1000000001000013682/ystenlive/index.m3u8$8M1080_易视腾
CCTV3 综艺,http://185.184.223.59:50001/5000000004000008883/bestzb/index.m3u8$6.8M1080_百视通
CCTV3 综艺,http://185.184.223.59:50001/1000000005000265003/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV3 综艺,http://185.184.223.59:50001/5000000002000020548/bestzb/index.m3u8$4M1080_百视通
CCTV3 综艺,http://185.184.223.59:50001/1000000001000011218/ystenlive/index.m3u8$4M1080_易视腾
CCTV4 中文国际,http://185.184.223.59:50001/5000000011000031102/bestzb/index.m3u8$6.8M1080_百视通
CCTV4 中文国际,http://185.184.223.59:50001/1000000005000265004/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV4 中文国际,http://185.184.223.59:50001/1000000002000031664/ystenlive/index.m3u8$4M1080_易视腾
CCTV4 中文国际,http://185.184.223.59:50001/5000000005000030093/bestzb/index.m3u8$4M720_百视通
CCTV5 体育,http://185.184.223.59:50001/1000000005000025222/ystenlive/index.m3u8$12M1080_易视腾
CCTV5 体育,http://185.184.223.59:50001/6000000001000016431/wasusyt/index.m3u8$8M1080_华数
CCTV5 体育,http://185.184.223.59:50001/1000000003000030177/ystenlive/index.m3u8$8M1080_易视腾
CCTV5 体育,http://185.184.223.59:50001/5000000004000008885/bestzb/index.m3u8$6.8M1080_百视通
CCTV5 体育,http://185.184.223.59:50001/1000000005000265005/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV5 体育,http://185.184.223.59:50001/5000000010000016619/bestzb/index.m3u8$4M1080_百视通
CCTV5 体育,http://185.184.223.59:50001/1000000001000004794/ystenlive/index.m3u8$4M1080_易视腾
CCTV5+ 体育赛事,http://185.184.223.59:50001/6000000001000015875/wasusyt/index.m3u8$8M1080_华数
CCTV5+ 体育赛事,http://185.184.223.59:50001/1000000001000018504/ystenlive/index.m3u8$8M1080_易视腾
CCTV5+ 体育赛事,http://185.184.223.59:50001/5000000011000031127/bestzb/index.m3u8$6.8M1080_百视通
CCTV5+ 体育赛事,http://185.184.223.59:50001/1000000005000265016/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV5+ 体育赛事,http://185.184.223.59:50001/1000000001000020505/ystenlive/index.m3u8$4M1080_易视腾
CCTV6 电影,http://185.184.223.59:50001/6000000001000004574/wasusyt/index.m3u8$8M1080_华数
CCTV6 电影,http://185.184.223.59:50001/1000000001000001737/ystenlive/index.m3u8$8M1080_易视腾
CCTV6 电影,http://185.184.223.59:50001/5000000004000008886/bestzb/index.m3u8$6.8M1080_百视通
CCTV6 电影,http://185.184.223.59:50001/1000000005000265006/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV6 电影,http://185.184.223.59:50001/5000000010000018433/bestzb/index.m3u8$4M1080_百视通
CCTV6 电影,http://185.184.223.59:50001/1000000001000016466/ystenlive/index.m3u8$4M1080_易视腾
CCTV7 国防军事,http://185.184.223.59:50001/6000000001000009055/wasusyt/index.m3u8$8M1080_华数
CCTV7 国防军事,http://185.184.223.59:50001/1000000001000024341/ystenlive/index.m3u8$8M1080_易视腾
CCTV7 国防军事,http://185.184.223.59:50001/5000000011000031104/bestzb/index.m3u8$6.8M1080_百视通
CCTV7 国防军事,http://185.184.223.59:50001/1000000005000265007/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV7 国防军事,http://185.184.223.59:50001/1000000001000017218/ystenlive/index.m3u8$4M1080_易视腾
CCTV7 国防军事,http://185.184.223.59:50001/5000000005000026715/bestzb/index.m3u8$4M720_百视通
CCTV8 电视剧,http://185.184.223.59:50001/6000000001000001070/wasusyt/index.m3u8$8M1080_华数
CCTV8 电视剧,http://185.184.223.59:50001/1000000001000031433/ystenlive/index.m3u8$8M1080_易视腾
CCTV8 电视剧,http://185.184.223.59:50001/5000000004000008888/bestzb/index.m3u8$6.8M1080_百视通
CCTV8 电视剧,http://185.184.223.59:50001/1000000005000265008/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV8 电视剧,http://185.184.223.59:50001/5000000010000018377/bestzb/index.m3u8$4M1080_百视通
CCTV8 电视剧,http://185.184.223.59:50001/1000000001000003736/ystenlive/index.m3u8$4M1080_易视腾
CCTV9 记录,http://185.184.223.59:50001/6000000001000032162/wasusyt/index.m3u8$8M1080_华数
CCTV9 记录,http://185.184.223.59:50001/1000000001000014583/ystenlive/index.m3u8$8M1080_易视腾
CCTV9 记录,http://185.184.223.59:50001/1000000005000265009/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV9 记录,http://185.184.223.59:50001/5000000010000018384/bestzb/index.m3u8$4M1080_百视通
CCTV9 记录,http://185.184.223.59:50001/1000000001000028286/ystenlive/index.m3u8$4M1080_易视腾
CCTV10 科教,http://185.184.223.59:50001/5000000004000012827/bestzb/index.m3u8$8M1080_百视通
CCTV10 科教,http://185.184.223.59:50001/6000000001000031506/wasusyt/index.m3u8$8M1080_华数
CCTV10 科教,http://185.184.223.59:50001/1000000001000023734/ystenlive/index.m3u8$8M1080_易视腾
CCTV10 科教,http://185.184.223.59:50001/1000000005000265010/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV10 科教,http://185.184.223.59:50001/5000000010000016738/bestzb/index.m3u8$4M1080_百视通
CCTV10 科教,http://185.184.223.59:50001/1000000001000026367/ystenlive/index.m3u8$4M1080_易视腾
CCTV11 戏曲,http://185.184.223.59:50001/5000000011000031106/bestzb/index.m3u8$6.8M1080_百视通
CCTV11 戏曲,http://185.184.223.59:50001/1000000005000265011/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV11 戏曲,http://185.184.223.59:50001/5000000006000040011/bestzb/index.m3u8$4M1080_百视通
CCTV11 戏曲,http://185.184.223.59:50001/1000000002000019789/ystenlive/index.m3u8$4M1080_易视腾
CCTV12 社会与法,http://185.184.223.59:50001/6000000001000022586/wasusyt/index.m3u8$8M1080_华数
CCTV12 社会与法,http://185.184.223.59:50001/1000000001000032494/ystenlive/index.m3u8$8M1080_易视腾
CCTV12 社会与法,http://185.184.223.59:50001/5000000011000031107/bestzb/index.m3u8$6.8M1080_百视通
CCTV12 社会与法,http://185.184.223.59:50001/1000000005000265012/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV12 社会与法,http://185.184.223.59:50001/1000000001000001640/ystenlive/index.m3u8$4M1080_易视腾
CCTV12 社会与法,http://185.184.223.59:50001/5000000006000040012/bestzb/index.m3u8$4M540_百视通
CCTV13 新闻,http://185.184.223.59:50001/5000000011000031108/bestzb/index.m3u8$6.8M1080_百视通
CCTV13 新闻,http://185.184.223.59:50001/5000000005000001827/bestzb/index.m3u8$4M1080_百视通
CCTV13 新闻,http://185.184.223.59:50001/1000000002000021303/ystenlive/index.m3u8$4M1080_易视腾
CCTV14 少儿,http://185.184.223.59:50001/5000000004000006673/bestzb/index.m3u8$8M1080_百视通
CCTV14 少儿,http://185.184.223.59:50001/6000000001000013647/wasusyt/index.m3u8$8M1080_华数
CCTV14 少儿,http://185.184.223.59:50001/1000000001000008170/ystenlive/index.m3u8$8M1080_易视腾
